0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.4475404,14.5389143,10.1583866,7.64249874,5.86759474,5.0426185,3.94979457,3.5798635,3.29937336,3.05519234,34.5412976,19.299335,12.3810094,8.31596523,6.25954647,4.7187148,3.81699395,3.45102503,3.03122418,3.01303982,42.0736876,22.9188795,13.592323,8.89890185,6.56842942,4.918019,3.82091754,3.41371038,2.99954917,2.96425756,42.6102984,23.1196162,13.5062811,9.05287226,6.35159385,4.83202666,3.96644783,3.43916421,3.06201382,3.09129826,34.9618412,20.2265156,12.9529147,8.57030564,6.47836091,4.90616614,4.07884595,3.51122082,2.97786244,3.17388387,21.2058561,15.1328509,10.8770613,7.99712804,6.11890787,4.81813854,4.09744164,3.81140448,3.22600408,3.08002632
573.539238,474.092562,356.008856,276.377982,218.478528,188.62501,150.679008,136.921347,127.492964,117.970319,936.046526,598.459847,416.284345,294.596303,229.582862,175.232438,146.948795,133.155876,115.996232,115.901818,1134.21177,707.774968,451.952027,314.412057,240.521937,182.088735,142.760943,130.597617,114.626749,114.025609,1184.5616,719.041822,457.839792,322.120639,232.313251,181.487052,149.846915,130.558173,119.108157,118.244657,1036.94552,665.391614,453.918184,309.686114,241.952895,184.974389,152.967264,134.498552,114.191283,122.617587,750.159435,541.725067,403.907768,301.68599,231.461801,185.925058,158.754351,146.661497,124.954143,118.606877
739.992101,646.396651,510.424537,412.980173,337.915303,297.227419,240.251282,218.939135,209.405328,196.424938,1095.09242,750.200659,554.086632,419.249891,341.451245,268.544349,234.602969,215.769956,193.373123,195.759191,1305.70867,867.869179,583.15009,435.84932,351.641486,276.175974,225.767069,211.754544,186.650584,190.143036,1374.3765,878.99279,596.568114,440.296292,335.419322,275.457989,236.001269,206.393184,196.652446,193.896502,1258.57594,840.079437,603.176595,432.778754,349.74999,283.701768,238.348104,213.110721,187.942677,201.062785,1008.93109,729.498886,564.750798,436.091284,343.134323,287.825611,248.77887,231.957144,202.659226,193.453322
934.325675,822.133199,655.651774,540.548706,446.328654,398.006374,321.100378,293.947381,284.616927,268.59413,1385.76039,946.864694,707.192584,544.30923,449.340382,359.233471,316.683931,293.332606,266.852779,270.966494,1688.7867,1106.45533,745.260106,566.897332,464.439605,368.906919,307.437,289.692834,256.006857,262.620548,1805.57022,1136.99736,772.86342,574.897037,445.659169,370.202233,321.311441,280.69175,270.658244,267.8952,1687.68259,1097.81535,789.654525,573.577807,464.215152,383.996302,325.055133,290.300486,260.007572,278.332013,1359.49061,967.155396,747.892763,581.588958,460.561623,390.734662,338.819843,316.329106,279.228986,267.361774
1120.34774,983.568495,786.612175,653.806049,540.48911,486.512577,469.225335,359.549466,348.654048,329.272897,1897.58046,1161.38466,976.006619,664.755494,551.035253,441.934463,389.374054,360.908553,331.508024,334.348378,2187.92464,1388.26466,924.214887,801.029136,573.907751,456.205863,382.93999,358.594127,318.772299,325.260599,2388.24253,1457.76867,971.826751,718.24503,557.20375,460.974989,399.849224,349.24796,335.185996,334.666607,2535.88845,1410.6094,998.893547,722.745779,580.719368,481.766209,408.600973,362.831312,324.571087,346.543959,1765.2676,1236.27036,944.154099,730.883715,578.697298,577.565464,423.481995,393.818781,348.472864,333.59489
1882.61138,1676.22945,1576.20436,800.554213,843.715969,785.006441,466.644361,426.507072,409.201496,382.708649,2532.07683,1550.34454,1222.86522,829.972546,676.726299,547.514982,470.248198,426.018418,391.020996,389.212894,4012.90844,2177.55242,1205.60923,888.339922,756.567639,984.435317,811.106899,425.053596,377.847875,379.67769,3741.56763,2115.63353,1255.21563,1321.12282,687.225278,556.672967,477.123959,418.680204,390.442503,393.5722,3124.4811,1836.98544,1762.57436,898.150039,708.49347,582.67956,528.159452,614.592483,381.013425,404.833464,2399.92081,1534.44481,1150.61278,880.813658,699.264296,633.48526,498.188814,463.368694,407.091136,658.980552
2075.95947,1852.41038,1353.35917,1012.15969,793.502023,633.349429,509.173931,462.846544,439.890755,425.90048,3168.28565,1820.26069,1365.91461,1026.92425,744.822691,842.129212,498.239611,646.148052,420.923314,491.118476,4001.79955,2297.79139,1886.41874,1270.4498,777.193865,668.396441,504.931587,533.102609,406.509716,405.985304,4800.5462,2598.70264,1730.97028,1150.70145,752.1589,682.744597,516.052212,455.148521,514.336509,421.444441,3795.51653,2232.69978,1581.98453,976.241243,765.7381,629.778083,531.955005,569.152627,408.358152,431.300718,2438.02859,1697.1346,1217.73045,1026.41095,834.942572,644.616833,528.724653,493.868939,431.906756,415.732481
2129.959,1804.78511,1247.26736,1051.59481,766.261585,662.522937,683.346239,480.987943,451.13567,422.870754,3473.15349,2146.5995,1368.88604,1002.96324,780.589968,731.651305,559.475891,472.56411,776.714725,517.340615,4333.32441,3052.54521,1695.30948,1218.16342,1087.40807,684.015283,523.9877,472.057762,434.521564,523.29667,4439.45899,3029.34622,1578.90729,1396.54177,779.67286,655.29593,534.119442,521.946117,427.742197,429.151982,3753.15301,2056.25766,1498.65008,1123.41688,834.57858,763.270537,547.070088,475.781124,591.706679,438.791739,2129.74254,1580.91089,1261.03202,939.299153,881.04685,628.884847,594.557118,600.803135,442.149035,728.370288
2368.5279,1967.71933,1216.24835,1184.40982,881.598705,664.070943,525.611823,477.655812,445.033689,418.730403,3862.18915,2281.39862,1380.79456,995.371442,846.357031,654.172718,527.15223,740.761089,430.124532,423.555352,4565.24959,2312.00724,1879.68133,1255.65117,862.219705,625.867555,577.114067,465.60728,408.863327,590.657922,4594.97125,2694.16919,1594.81308,1077.22019,810.288825,606.052812,922.00033,620.023821,509.989421,423.433756,3315.79596,2262.14751,2026.28023,997.249981,815.604329,686.082771,751.743629,532.035466,415.121916,429.627889,2065.00187,1527.71879,1214.69931,1100.64053,804.271171,670.093061,525.682984,496.430125,427.568309,417.268955
2381.40702,1728.96144,1414.5417,923.767814,951.448931,805.082913,560.124598,452.945242,421.389384,396.764173,3724.38937,1944.48355,1664.83221,943.625985,1080.06668,576.723567,508.4743,442.530384,404.905504,401.994943,4052.09182,2331.84491,1421.66798,952.824912,741.730497,721.59552,489.40118,439.307303,405.489192,390.933023,4053.01128,2266.38379,1883.36296,1022.63632,706.234663,629.772602,617.139925,430.534469,400.956168,575.135596,2827.54123,1702.59186,1361.0165,1141.60277,767.174988,584.110095,642.565375,432.71191,391.35025,403.405741,1958.73646,1304.78941,1195.48778,924.601477,676.418898,663.187896,580.073169,464.010305,403.183697,393.163461
2045.80073,1486.16909,1052.60553,814.140965,650.403477,559.589247,445.187904,403.968034,377.581822,354.409654,2822.22283,1740.57732,1125.42564,824.716578,648.497851,505.70706,424.908664,394.264362,434.177676,360.273755,3004.97514,1762.46082,1142.25941,826.347398,648.899194,519.642893,425.20339,390.020359,343.957265,348.739838,2823.56183,1664.6951,1099.3751,799.005578,613.958727,498.067854,474.026809,379.414739,353.800458,353.966033,2369.19116,1402.84446,1026.16914,767.391226,615.330933,515.294141,437.762925,383.269363,347.017801,359.650981,1370.58638,1098.83589,902.055129,723.467669,592.161035,498.487749,434.271633,623.721872,453.260858,350.022927
1594.6811,1187.06986,849.398264,661.232127,529.369399,456.767035,364.936553,330.942021,311.038265,291.7269,2105.63412,1275.36749,891.90135,663.01748,523.987791,408.826994,348.062376,323.290197,291.818103,296.143754,2214.73919,1363.32276,901.782956,664.798057,527.594026,421.066743,343.878155,317.96465,282.190001,286.029829,2034.86289,1288.67977,871.465955,643.601296,496.167691,406.375628,354.304166,309.498023,291.325864,288.905687,1616.11161,1108.42618,825.205939,622.449265,500.643821,421.594086,356.079539,315.807049,283.725448,296.594665,1097.28244,889.221978,734.492673,649.896218,485.883779,410.474638,358.37231,339.922311,297.538562,287.895494
1118.05662,854.816098,619.918232,483.668596,387.778581,335.767315,268.341556,242.737417,229.03645,214.689634,1478.99954,918.64657,652.555746,486.001959,385.439668,299.178781,256.324846,237.333543,211.842438,216.394225,1575.82146,999.417106,666.731541,492.035657,391.599182,309.543911,251.294421,232.773522,207.094268,209.679205,1484.15529,957.008468,652.480465,481.910586,369.657035,302.592329,261.77692,228.252237,214.985572,212.948361,1211.7937,844.514169,629.725581,470.223317,376.863383,313.693893,263.116001,235.29594,208.933861,219.793724,851.300994,687.943486,563.820863,456.253701,367.244713,308.264414,269.557807,255.137165,221.357863,213.44611
835.843714,636.31542,450.515797,341.960515,266.161132,226.016912,178.830198,161.012488,147.863286,137.024752,1211.12925,736.137714,503.187646,355.539339,272.033274,205.058885,169.319726,154.316783,134.10187,135.421613,1338.8206,820.753003,526.011731,365.834096,278.271742,212.673322,166.085932,150.393068,133.316858,131.866753,1286.26518,792.464294,509.644794,360.714778,262.899845,206.078662,172.300338,149.860646,135.885023,135.223324,1033.78529,684.099664,481.934567,341.458142,265.858902,209.707377,173.673795,153.376877,131.476428,138.644365,669.795963,525.38216,409.742133,318.898114,251.489963,203.20166,175.757584,165.502047,139.865276,134.708135
47.4811982,35.2381395,24.3702942,18.2133488,13.8939688,11.8283987,9.24200336,8.34984906,7.63911321,7.07478762,81.5985891,45.5561952,29.1328856,19.5333585,14.619932,10.9685255,8.82100832,7.9668357,6.98440111,6.95146887,96.8122574,52.7716884,31.3494892,20.5112398,15.1095752,11.3469677,8.78120295,7.83863516,6.88111678,6.80060981,95.9140921,52.1289629,30.5051309,20.4868649,14.3905257,10.9696524,9.03057399,7.83588538,6.97658717,7.02839697,76.7833806,44.4924326,28.6427442,19.1094148,14.4748989,11.043343,9.21585896,7.93725129,6.751837,7.16949694,45.4108895,32.6730491,23.6803921,17.5304164,13.5613716,10.7124471,9.14424005,8.55960047,7.22986793,6.94302804
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
